"customer_id","first_name","last_name","gender","age","phone","email","avg_income","customer_type","is_ReferenceOnly","segment_id","Employee_id"
"1","Stephanie","Torres","Male","85","+1-266-334-5337x2201","danielcole@example.org","142911.53","Prospect","F","44","50.0"
"2","Jennifer","Campbell","Male","32","759-437-6618x94370","elee@example.org","34745.11","Renter","F","27","3.0"
"3","Anthony","Farrell","Female","44","462-277-6572x565","stephanieperry@example.com","117376.23","Prospect","F","40","397.0"
"4","Nancy","Cook","Female","25","8232897432","welchjennifer@example.net","123309.43","Renter","F","36","92.0"
"5","Nathan","Smith","Other","79","583.832.5848x6899","gibsonjennifer@example.net","87705.48","Prospect","F","12","161.0"
"6","Kelly","Shea","Other","61","504.750.6917x679","shannonevans@example.net","148606.63","Investor","F","56","295.0"
"7","Melissa","Montoya","Other","51","+1-894-264-0830x37360","langjoshua@example.net","187201.57","Prospect","F","16","68.0"
"8","Shelby","Smith","Other","56","001-749-407-9388x4136","alexisjordan@example.com","185485.86","Renter","F","20","320.0"
"9","Deborah","Potts","Female","44","8125424462","michaelhubbard@example.com","92913.68","Prospect","F","23","212.0"
"10","Kyle","Daniels","Other","53","+1-411-321-0314","gmorgan@example.net","27081.42","Investor","F","44","204.0"
"11","Steven","Martinez","Female","68","+1-394-315-1526x38409","dustinmartin@example.net","197044.03","Investor","F","52",""
"12","Amanda","Mendoza","Female","23","001-350-556-6186x32397","dgrant@example.com","168585.13","Investor","F","6","103.0"
"13","Marco","Wood","Female","50","7078309505","montesmichelle@example.org","29309.22","Prospect","F","53","201.0"
"14","Dennis","Davis","Female","52","581.692.7788x51905","gcarter@example.org","184564.17","Renter","F","48","226.0"
"15","Sheila","Ortega","Male","49","(746)324-5618","tparker@example.com","174629.79","Buyer","F","34","41.0"
"16","Andrew","Zavala","Other","47","321-428-9915x11455","brandimiller@example.org","106173.42","Buyer","F","22","293.0"
"17","Joshua","Skinner","Female","30","+1-381-889-8484","collinsnatalie@example.org","120298.71","Renter","T","27","260.0"
"18","Diane","Adams","Female","79","9217190170","qweaver@example.org","82805.53","Renter","F","19","90.0"
"19","Brittany","Hoffman","Female","25","515.422.9107","joannshort@example.net","15678.52","Buyer","F","15","199.0"
"20","William","Mayo","Other","22","8845937830","hlee@example.com","70363.46","Renter","F","54","16.0"
"21","Max","Sullivan","Male","68","001-669-944-3916","levinerichard@example.org","161556.42","Prospect","F","48","372.0"
"22","Julie","Vazquez","Female","22","001-229-313-2033","nanderson@example.com","5903.24","Buyer","F","39",""
"23","Susan","Andrews","Female","54","+1-731-806-1537x2215","rkeller@example.com","70032.34","Prospect","F","35","194.0"
"24","Scott","Harris","Female","35","+1-223-865-3377x4604","ymoore@example.org","82642.9","Prospect","F","52",""
"25","Kaitlin","Warren","Female","38","261.942.4426","willismichael@example.net","109792.14","Prospect","F","46","21.0"
"26","Jeffrey","Harris","Male","61","876-542-7372x037","danielgriffith@example.net","184371.85","Investor","F","49","24.0"
"27","Jonathan","Garcia","Male","69","+1-484-960-1913x44389","hernandezandrew@example.net","72537.47","Prospect","F","6","131.0"
"28","Kayla","Barnes","Other","30","707-332-1464x49369","mruiz@example.org","72655.87","Renter","F","31","91.0"
"29","Mark","Hodge","Male","18","(473)585-7368x011","ndelacruz@example.com","148812.74","Investor","F","29","311.0"
"30","Robert","Ferrell","Female","60","318-272-3335","alexander96@example.org","93182.5","Investor","F","37",""
"31","Vickie","Day","Female","64","231.953.9114x983","amber07@example.org","48797.94","Renter","F","8","164.0"
"32","Laura","Clay","Female","38","718-793-9406","khawkins@example.org","93225.71","Prospect","F","60","384.0"
"33","Joanne","Hooper","Other","57","001-504-532-2302","davidmurray@example.net","32467.12","Buyer","F","19","114.0"
