"Employee_id","Employee_name","role","phone","email","project_id"
"1","Christine Bowman","Support","876.232.9092x79145","jamesdowns@montgomery.net",""
"2","Randy Hopkins","Support","603-512-7722x005","nking@williams-yang.net","31.0"
"3","Richard Washington","Account","713-579-9563","nguyencorey@gutierrez.com","152.0"
"4","John Zamora","Manager","(539)772-6527","james20@carroll.info","132.0"
"5","Christopher Cooper","Agent","992-992-9831x6873","alexis63@murphy.com","153.0"
"6","Leslie Hernandez","Account","001-806-900-7806","chavezjohn@mullins.com","133.0"
"7","Edward Holland","Support","907-942-7990","morgansullivan@sims-padilla.com",""
"8","Andrea Barry","Agent","780-246-4989x31950","reyessteven@diaz.net","139.0"
"9","Kristina Ayala","Agent","(753)781-7933","wesley64@brown.info","51.0"
"10","Mr. Bryan Mckinney","Agent","+1-384-379-5137x11624","joshuaterry@hernandez-harris.com",""
"11","Wayne Weaver","Support","(275)567-0431","robert55@watkins-terry.net","163.0"
"12","Eric Anderson","Sales","424-637-5402x5472","teresafranco@conway.com",""
"13","Eugene Martinez","Sales","452-638-0552x578","knapprichard@mack-gould.com",""
"14","Wayne Payne","Account","354.674.9297x51702","moralesmary@howard-nguyen.org",""
"15","Lauren Walker","Support","001-243-701-8718x63759","bhernandez@hughes-smith.com","111.0"
"16","William Sawyer","Manager","437-367-4266","jaredwells@hatfield.biz",""
"17","Jason Rocha","Project Manager","(628)979-2326x48704","ywalker@moore.info","89.0"
"18","Maxwell Roberts","Support","(773)901-4719","ooneill@alvarez.net",""
"19","Alicia Green","Account","001-602-757-2520","wfields@roberts.com","102.0"
"20","Pamela White","Support","392-785-5445","alexanderholmes@maxwell-jenkins.com","137.0"
"21","Christopher Walker","Support","389.388.8167","sandramendoza@vazquez-taylor.info",""
"22","Linda Gallagher","Agent","824-301-3223x42321","smithtodd@williams-rodriguez.net","80.0"
"23","Julie Kerr","Agent","5144011939","anthony24@bailey.org",""
"24","Kelly Garcia","Project Manager","001-308-533-4280","lrichardson@gonzales.com","180.0"
"25","Vicki Coleman","Manager","236.315.1718x27548","tristan64@burke-collins.info",""
"26","Jason Mercer","Support","(431)875-2071x67811","gneal@schaefer.com","167.0"
"27","Kurt Ewing","Manager","736-974-9946","garcher@hernandez-gibson.com",""
"28","Jonathan Fuller","Agent","(701)401-7026","christy11@walton.com","109.0"
"29","Jonathan Wagner","Sales","+1-958-780-0616","cramos@thompson.com","63.0"
"30","Carly Jordan","Project Manager","267-819-7889x7782","troy69@gomez.com","36.0"
"31","Bethany Richardson","Account","001-590-556-1655x6503","brittany14@morgan.net",""
"32","Joel Boyer","Project Manager","001-886-840-7905","ashley71@leonard.com","57.0"
"33","Elijah Montes","Sales","871.583.4404","robbinsbelinda@rogers.info","13.0"
"34","Gregory Jones","Agent","484-268-5366x4987","barbaralewis@hurley.org","79.0"
"35","Susan Michael","Agent","001-308-535-7232x4665","sadams@martin.com","100.0"
"36","Corey Sanchez","Sales","677-486-6032x4204","stuarttodd@brown.com","13.0"
"37","Sharon Lester","Manager","(951)362-3198x18984","carolmejia@murphy-silva.biz","126.0"
"38","Natasha Walls","Sales","221.923.4764","holly15@coleman.com",""
"39","Mike Underwood","Support","7903034864","miaprice@pennington-hardin.com",""
"40","Rodney Young","Sales","927.856.0417","jennifer12@green.net","31.0"
"41","Jody Johnson","Account","3273206345","johnreeves@hines.com","135.0"
"42","Shane Anderson","Account","(895)843-1652","andrewjohnson@holland.info","95.0"
"43","Michael Jackson","Manager","(896)994-2152x9108","twilson@lee.com","110.0"
"44","Janet Reynolds","Agent","293.643.6262","joe73@aguilar-holland.com","87.0"
"45","Casey Morris","Project Manager","001-763-566-9411x800","modonnell@coffey.com",""
"46","Jonathan James","Sales","(452)380-9242x8757","jennifer62@wilson-williams.com",""
"47","Dr. Douglas Ward MD","Manager","294-585-6257x287","brianwhite@green-mccarthy.biz",""
"48","Steven Simpson","Support","658.477.7121x513","karencarson@macdonald.com",""
"49","Laura Butler","Agent","737-315-0416","eric17@keller.org","147.0"
"50","Erin Williams","Support","+1-875-392-3045x018","pscott@davis-phelps.com","138.0"
"51","James Holland","Account","+1-521-947-6492x5158","emcclure@hart-henderson.biz","147.0"
"52","Lisa Hamilton","Account","(810)385-7327x88147","ievans@leach.com","60.0"
"53","Kristen Lowery","Manager","218.366.1794x54918","lwhite@williams-butler.com",""
"54","Nathaniel Todd","Agent","294.252.3219x416","kwilson@woods.org","141.0"
"55","Elizabeth Li","Sales","+1-256-541-2203x103","pwong@graham.net","66.0"
"56","Eric Ford","Support","560.612.2777x0793","awilliams@mccoy.biz","170.0"
"57","Sarah Mclaughlin","Project Manager","+1-284-207-6789x973","jray@adams.biz","78.0"
"58","Audrey Dean","Sales","+1-557-760-2437x5738","sanderson@dawson.com","33.0"
"59","Rebecca Richard","Account","+1-834-917-2232x971","jimmy80@howard.com",""
"60","Carrie Villarreal","Sales","701.256.1931x83745","paula89@garcia.info","25.0"
"61","Nicole Villegas","Agent","+1-691-980-8121x352","goconnor@holland.com","29.0"
"62","Dakota Montes","Manager","001-403-875-4821x45653","devinpatterson@villanueva-crane.net","51.0"
"63","Heidi Johnson","Agent","(808)211-5562","qmalone@hernandez.net","88.0"
"64","Jennifer Blackwell","Sales","001-584-955-0489x267","pam63@miller-medina.biz",""
"65","Natalie Martinez","Account","+1-443-218-8485","zamoraamber@allen-schroeder.biz","141.0"
"66","Mrs. Amy Watson","Manager","+1-585-710-1749x0753","justin92@gray.net",""
"67","Samantha Ward","Account","926-561-1062","rmiller@powell.com","38.0"
"68","Mallory Barajas","Project Manager","001-376-522-8277x288","vkennedy@raymond.com","102.0"
"69","Jennifer Martinez","Sales","001-640-682-1545","jjohnson@bowers.com","124.0"
"70","Elizabeth Campbell","Support","(970)618-5106","ymccullough@alvarez-cortez.org",""
"71","Charles Fields","Account","001-277-925-1996x63658","debbie20@mccoy.com",""
