"investor_id","investor_name","phone","email","company_name","portfolio_id"
"1","Kimberly Cunningham","(752)792-1923","kathy67@example.net","None","195.0"
"2","Alvarez-Nelson","465-553-3332x945","evansjohn@example.net","None","168.0"
"3","Michael Oliver","(353)970-2204x00982","kristacunningham@example.org","None","172.0"
"4","Rubio, Perry and Bailey","627-431-7044x5927","kyletaylor@example.net","Strickland, Nichols and Lara","25.0"
"5","Jennifer Foster","913-895-5093x32493","stephanie17@example.net","None","77.0"
"6","William Martin","001-351-719-4779","christinascott@example.com","Smith Inc","307.0"
"7","Mccoy-Bell","6052884685","christophervalenzuela@example.net","None","299.0"
"8","Bishop-Phillips","284-940-9172x031","crystalnguyen@example.net","None","147.0"
"9","Megan Yang","+1-683-662-1993x10307","jonesdominique@example.com","Sanchez LLC","1.0"
"10","Carrie Johnston","335-750-2486x723","montesmichael@example.net","None","74.0"
"11","Denise Mclaughlin","(592)848-9010","zmahoney@example.com","None",""
"12","Dawn Wilson","9647666169","bensonjessica@example.net","Gilbert-Morris","341.0"
"13","Barrett LLC","001-955-352-0644x87945","rodriguezjordan@example.net","Butler-Bautista","360.0"
"14","Hernandez Inc","318.891.3106x57208","frederickrobinson@example.net","None","24.0"
"15","Jackson-Jacobs","287.722.0102","ucooper@example.com","Austin-Hampton","331.0"
"16","White LLC","824.962.5790","mbennett@example.net","Jones-Elliott","187.0"
"17","Nicholas Herrera","001-951-235-9190x54832","patrick81@example.net","None","75.0"
"18","Isabel Greer DVM","2326421448","maryalvarez@example.com","None","314.0"
"19","Dana Berry","+1-631-957-8057x582","audrey10@example.com","Brown-Ellis","35.0"
"20","Garcia, Williams and Daniels","884-365-2409x373","billymontgomery@example.org","Simpson-Clark","240.0"
"21","Harrison-Evans","483.548.1077x524","mariaarcher@example.org","Thomas-Curtis","356.0"
"22","Molly Soto","235-709-0124x70624","gregory75@example.com","Brown, Nelson and Kelly","212.0"
"23","Davis LLC","723-768-1377","martinezrodney@example.org","None","223.0"
"24","Miller, Logan and Burke","712-456-7011","nicholashays@example.org","Manning-Clark","315.0"
"25","Rodney Foster","676.203.7065x78586","delgadophilip@example.net","Middleton Inc","207.0"
"26","Jaime Harrell","001-591-635-6528x22384","knightdylan@example.com","White, Rosales and Boyd","384.0"
"27","Richard Snyder","882.298.5415","rodriguezjessica@example.net","None","384.0"
"28","Mendez-Mckenzie","734.923.6389","kristina05@example.net","None","338.0"
"29","Collins, Nelson and Johnson","001-670-284-2611x6197","hray@example.net","None","329.0"
"30","Kristine Richards","764.462.2466x1023","shirleytaylor@example.com","None","230.0"
"31","Diana Thompson","805.972.2871","jamesdunn@example.org","None","66.0"
"32","Brandon Thompson","(567)760-8175x37489","xpeck@example.net","Braun-Maynard","107.0"
"33","Montgomery Group","999-404-9483","danny88@example.org","Hinton Inc","363.0"
"34","Emily Lewis DDS","001-883-975-9343x096","zbenton@example.com","Fields PLC","289.0"
"35","Melody Walker","503.616.3035x5558","rharvey@example.net","None","178.0"
"36","Nancy Sanders","8026547305","cindychen@example.org","None","238.0"
"37","Saunders, Wilson and Combs","+1-595-281-8671x3646","toddvelazquez@example.org","Lee-Nielsen","319.0"
"38","Justin Silva","(700)695-1979x237","stephendrake@example.net","None","161.0"
"39","Tammy Daugherty","+1-873-367-6397x4321","thomasbarbara@example.com","Porter-Johnson","15.0"
"40","Michelle Baker","499.753.1769","darmstrong@example.com","Burton PLC","362.0"
