"owner_id","first_name","last_name","address","phone","email","type","registration_date","unit_id"
"1","Jesse","Conner","52327 James Junctions Suite 819, Lake Gene, ND 67751","691-959-0335","kellymyers@example.net","Company","2020-12-12","8665.0"
"2","Justin","Henderson","USCGC Morrow, FPO AA 47772","001-918-360-3579","peter92@example.com","Individual","2023-09-30","3856.0"
"3","Brittany","Jones","11101 Marie River Apt. 122, North Paul, NM 71666","539-236-3557","barbara01@example.org","Company","2024-02-16","3345.0"
"4","Michael","Reyes","91873 Nicole Stream, Ronaldberg, CT 95434","(869)518-6040","christopher58@example.net","Company","2025-02-18","4079.0"
"5","Michelle","Garcia","560 Pruitt Causeway, Lake Shannon, MS 54780","638.561.7736","cpierce@example.org","Company","2022-03-30","6835.0"
"6","Laura","King","6378 Bowman Common, Port Tracieshire, IA 31546","739.904.9569","wroberts@example.net","Individual","2021-12-25","8944.0"
"7","James","White","0947 Colleen Ramp, Port Christina, MD 47679","920-931-2652x000","ronaldsaunders@example.com","Company","2021-03-27","6420.0"
"8","Elizabeth","Morris","6493 Charles Road Apt. 735, West Ericport, NE 40553","556.574.3840x152","fosterkelly@example.org","Individual","2020-01-27","1947.0"
"9","Jackie","Chase","0340 Flores Extension Apt. 962, Lake Michaelborough, UT 65111","(200)406-9411x85220","nicholasjones@example.org","Company","2022-07-14","366.0"
"10","Timothy","Bates","0578 Garcia Vista Apt. 079, North Douglasside, WY 85540","(362)530-4932","nancycortez@example.net","Company","2022-07-16","7677.0"
"11","Julia","Gray","634 Grant Branch Apt. 934, South Kathy, NM 87376","572-784-4608x727","knightchristopher@example.com","Individual","2025-05-24","3342.0"
"12","Carl","Wagner","732 Patrick Landing, East Rebecca, ID 39689","650-250-2394","shawn32@example.net","Individual","2024-09-07","7819.0"
"13","Johnny","Hess","364 Kathleen Island, Martinstad, NY 65011","6912409378","laurietaylor@example.com","Individual","2020-04-14","5995.0"
"14","Jennifer","Acevedo","8616 Marshall Plains, Pearsonmouth, NV 41508","415-513-9066","tsharp@example.com","Company","2023-11-13","8933.0"
"15","Michele","Turner","3716 Kim Walks, Fryburgh, CO 22283","292.879.7595x1879","williamstimothy@example.com","Individual","2022-03-11","7058.0"
"16","Benjamin","Velez","291 Vasquez Place Suite 395, Port Tammyshire, CO 16784","273.426.6531x61935","robert38@example.net","Company","2023-04-19","7897.0"
"17","Christian","Becker","93063 Chang Islands, Thomasview, SD 41930","(612)747-2369","torresmelvin@example.org","Company","2023-11-21","4046.0"
"18","Mary","Mccormick","5567 Zoe Knoll Apt. 810, Hillhaven, AK 94969","793.322.1355x90545","andersonomar@example.com","Individual","2021-09-04","1371.0"
"19","Steven","Smith","21514 Delacruz Wells Suite 804, Ashleyfort, NM 76986","+1-319-946-4998x35079","margaret51@example.com","Company","2019-12-22","5428.0"
"20","William","Lawrence","426 Roach Village, Port Mckenzietown, CO 71552","001-415-201-1083x7763","michael70@example.org","Company","2024-07-09","7527.0"
"21","Eric","Mathews","437 Wheeler Via Suite 226, South Lawrencetown, PW 61699","(799)300-0587","stephaniemiller@example.org","Company","2023-06-20","8457.0"
