customer_id,first_name,last_name,gender,age,phone,email,avg_income,customer_type,segment_id,employee_id
1,Donald,Meyer,Female,72,+1-907-634-2031x977,nstevens@example.com,25109.15,Buyer,50,204.0
2,Stephanie,Wilson,Other,48,718-864-8230x8829,daniel62@example.org,180997.82,Renter,49,294.0
3,Deborah,Robinson,Other,67,(305)986-9427x67483,hollycruz@example.org,103524.21,Renter,28,
4,Megan,Lewis,Female,22,+1-715-718-1788x2426,robert89@example.org,166159.21,Investor,20,373.0
5,Sarah,Reilly,Male,72,227.423.7179,jeremyshelton@example.net,67409.67,Prospect,23,367.0
6,Brian,Erickson,Male,69,001-365-948-7084x77954,ucrawford@example.org,179627.03,Renter,56,
7,Brittney,Jones,Other,57,+1-789-307-3781,troy08@example.net,80894.33,Investor,52,303.0
8,Kevin,Hicks,Other,59,+1-562-268-3848x876,susanjennings@example.com,7113.34,Prospect,56,289.0
9,Christian,Young,Male,28,(812)319-0518x8129,lisajohnson@example.com,181549.49,Renter,11,241.0
10,Adrian,Morales,Female,56,001-490-810-7923x729,jeffreywhitehead@example.net,22800.9,Investor,52,
11,Elizabeth,Atkinson,Female,30,+1-849-570-3506x75789,matthewvaughn@example.org,67266.16,Investor,39,201.0
12,Lauren,Ramos,Other,37,001-412-331-5550x5705,rwilliamson@example.net,190262.08,Buyer,19,219.0
13,Jeffrey,Hill,Female,70,640-945-8831x141,curtisjacqueline@example.org,190368.39,Buyer,9,310.0
14,Sharon,Levine,Male,61,903-968-7156x89109,jmedina@example.org,116820.39,Renter,18,369.0
15,Danielle,Turner,Female,65,001-845-668-4467x94036,jonesjeffery@example.org,128208.26,Renter,16,
16,Christie,Castillo,Female,63,001-578-331-5975x72927,xnixon@example.net,92446.88,Prospect,49,357.0
17,Jared,Johnson,Female,60,001-415-685-4233,bennettvictoria@example.com,62176.1,Prospect,10,221.0
18,Casey,Reed,Other,24,001-948-639-6607x3446,hthompson@example.com,69089.59,Buyer,25,157.0
19,Julia,Armstrong,Female,67,+1-941-274-9161,alexander22@example.org,136141.1,Investor,26,189.0
20,William,Davis,Other,40,001-881-241-3447,lisa37@example.com,151713.03,Buyer,30,175.0
21,Keith,Fitzgerald,Other,74,(492)886-4330,tanya09@example.net,159357.91,Buyer,56,322.0
22,Debbie,Cruz,Other,60,(818)836-6771,egraham@example.org,158975.54,Investor,47,160.0
23,Donald,Edwards,Other,70,(234)320-2223x4998,jessicastanton@example.net,22785.19,Prospect,55,
24,Jeffrey,Fisher,Male,72,(890)317-7915x244,kelly92@example.org,101411.96,Prospect,14,145.0
25,John,Garrison,Female,73,274-365-6426,wsanchez@example.org,16223.96,Investor,18,91.0
26,Noah,Jones,Other,28,001-956-995-5922,qrosales@example.org,112158.13,Prospect,36,221.0
27,Kenneth,Williams,Male,63,685.602.5513,nancy67@example.org,91098.45,Buyer,51,101.0
28,Henry,Lozano,Female,70,790.647.3314,ssimon@example.org,178102.32,Buyer,7,246.0
29,Nathaniel,Olson,Female,30,001-932-751-1497,bryangolden@example.org,73428.43,Prospect,8,365.0
30,Keith,Aguilar,Other,32,237-276-6183x0858,sharpamanda@example.org,27828.07,Renter,1,145.0
31,Christopher,Harris,Male,39,851-414-3678,landryalexis@example.net,32883.38,Investor,57,258.0
32,Chris,Bryant,Female,43,9962856425,pmay@example.org,153494.57,Buyer,6,261.0
33,Douglas,Patterson,Male,61,001-833-215-4230,lopezbrian@example.net,125552.52,Buyer,24,266.0
