"customer_id","first_name","last_name","gender","age","phone","email","avg_income","customer_type","segment_id","employee_id"
"1","Donald","Meyer","Other","72","+1-907-634-2031x977","nstevens@example.com","25109.15","Buyer","49","294.0"
"2","Stephanie","Wilson","Female","54","718-864-8230x8829","daniel62@example.org","180997.82","Renter","28",""
"3","Deborah","Robinson","Other","73","(305)986-9427x67483","hollycruz@example.org","103524.21","Renter","20","373.0"
"4","Megan","Lewis","Male","48","+1-715-718-1788x2426","robert89@example.org","166159.21","Investor","23","367.0"
"5","Sarah","Reilly","Male","48","227.423.7179","jeremyshelton@example.net","67409.67","Buyer","50","341.0"
"6","Brian","Erickson","Male","33","001-365-948-7084x77954","ucrawford@example.org","179627.03","Investor","56","289.0"
"7","Brittney","Jones","Other","60","+1-789-307-3781","troy08@example.net","80894.33","Prospect","11","241.0"
"8","Kevin","Hicks","Male","70","+1-562-268-3848x876","susanjennings@example.com","7113.34","Renter","53","31.0"
"9","Christian","Young","Male","56","(812)319-0518x8129","lisajohnson@example.com","181549.49","Investor","35","69.0"
"10","Adrian","Morales","Other","54","001-490-810-7923x729","jeffreywhitehead@example.net","22800.9","Renter","21","286.0"
"11","Elizabeth","Atkinson","Female","38","+1-849-570-3506x75789","matthewvaughn@example.org","67266.16","Investor","55","189.0"
"12","Lauren","Ramos","Other","72","001-412-331-5550x5705","rwilliamson@example.net","190262.08","Buyer","9","310.0"
"13","Jeffrey","Hill","Female","23","640-945-8831x141","curtisjacqueline@example.org","190368.39","Investor","56","261.0"
"14","Sharon","Levine","Male","64","903-968-7156x89109","jmedina@example.org","116820.39","Renter","16",""
"15","Danielle","Turner","Other","40","001-845-668-4467x94036","jonesjeffery@example.org","128208.26","Renter","49","357.0"
"16","Christie","Castillo","Other","45","001-578-331-5975x72927","xnixon@example.net","92446.88","Prospect","10","221.0"
"17","Jared","Johnson","Other","37","001-415-685-4233","bennettvictoria@example.com","62176.1","Prospect","25","157.0"
"18","Casey","Reed","Male","60","001-948-639-6607x3446","hthompson@example.com","69089.59","Buyer","26","189.0"
"19","Julia","Armstrong","Other","37","+1-941-274-9161","alexander22@example.org","136141.1","Investor","30","175.0"
"20","William","Davis","Female","57","001-881-241-3447","lisa37@example.com","151713.03","Buyer","56","322.0"
"21","Keith","Fitzgerald","Other","25","(492)886-4330","tanya09@example.net","159357.91","Prospect","41","266.0"
"22","Debbie","Cruz","Other","42","(818)836-6771","egraham@example.org","158975.54","Buyer","51","199.0"
"23","Donald","Edwards","Female","33","(234)320-2223x4998","jessicastanton@example.net","22785.19","Prospect","53","34.0"
"24","Jeffrey","Fisher","Female","37","(890)317-7915x244","kelly92@example.org","101411.96","Investor","54","71.0"
"25","John","Garrison","Female","55","274-365-6426","wsanchez@example.org","16223.96","Renter","37","362.0"
"26","Noah","Jones","Female","70","001-956-995-5922","qrosales@example.org","112158.13","Investor","58","275.0"
"27","Kenneth","Williams","Male","22","685.602.5513","nancy67@example.org","91098.45","Buyer","41","327.0"
"28","Henry","Lozano","Female","21","790.647.3314","ssimon@example.org","178102.32","Buyer","60","365.0"
"29","Nathaniel","Olson","Male","48","001-932-751-1497","bryangolden@example.org","73428.43","Prospect","1","145.0"
"30","Keith","Aguilar","Male","64","237-276-6183x0858","sharpamanda@example.org","27828.07","Renter","57","258.0"
"31","Christopher","Harris","Female","30","851-414-3678","landryalexis@example.net","32883.38","Investor","6","261.0"
"32","Chris","Bryant","Female","36","9962856425","pmay@example.org","153494.57","Buyer","24","266.0"
"33","Douglas","Patterson","Other","30","001-833-215-4230","lopezbrian@example.net","125552.52","Buyer","26","246.0"
"34","Ryan","Rogers","Female","66","+1-850-952-2411x4206","garciacharles@example.com","24718.92","Renter","28","261.0"
"35","Joanna","Knight","Male","65","4164633822","benjamin53@example.net","21400.83","Buyer","1","35.0"
"36","David","Ortega","Female","24","3565201901","amanda33@example.net","141688.98","Renter","38","41.0"
