"employee_id","employee_name","role","phone","email","project_id"
"1","Erika Gonzalez","Agent","+1-953-215-3136x36317","nthomas@thompson-brooks.info","64.0"
"2","Lynn Cantrell","Project Manager","952.909.0421","vjackson@tanner.com","62.0"
"3","Margaret Carr","Project Manager","(998)931-6873","alexis63@murphy.com",""
"4","Leslie Hernandez","Project Manager","001-806-900-7806","chavezjohn@mullins.com","18.0"
"5","Edward Holland","Sales","907-942-7990","morgansullivan@sims-padilla.com","44.0"
"6","Andrea Barry","Support","780-246-4989x31950","reyessteven@diaz.net","129.0"
"7","Kristina Ayala","Account","(753)781-7933","wesley64@brown.info","44.0"
"8","Mr. Bryan Mckinney","Support","+1-384-379-5137x11624","joshuaterry@hernandez-harris.com","164.0"
"9","Wayne Weaver","Support","(275)567-0431","robert55@watkins-terry.net","172.0"
"10","Eric Anderson","Account","424-637-5402x5472","teresafranco@conway.com",""
"11","Eugene Martinez","Sales","452-638-0552x578","knapprichard@mack-gould.com","71.0"
"12","Wayne Payne","Manager","354.674.9297x51702","moralesmary@howard-nguyen.org","128.0"
"13","Lauren Walker","Support","001-243-701-8718x63759","bhernandez@hughes-smith.com","45.0"
"14","William Sawyer","Agent","437-367-4266","jaredwells@hatfield.biz","109.0"
"15","Jason Rocha","Account","(628)979-2326x48704","ywalker@moore.info","97.0"
"16","Maxwell Roberts","Account","(773)901-4719","ooneill@alvarez.net","90.0"
"17","Alicia Green","Agent","001-602-757-2520","wfields@roberts.com","153.0"
"18","Pamela White","Agent","392-785-5445","alexanderholmes@maxwell-jenkins.com","77.0"
"19","Christopher Walker","Agent","389.388.8167","sandramendoza@vazquez-taylor.info","39.0"
"20","Linda Gallagher","Sales","824-301-3223x42321","smithtodd@williams-rodriguez.net","19.0"
"21","Julie Kerr","Agent","5144011939","anthony24@bailey.org",""
"22","Kelly Garcia","Support","001-308-533-4280","lrichardson@gonzales.com","15.0"
"23","Vicki Coleman","Manager","236.315.1718x27548","tristan64@burke-collins.info","31.0"
"24","Jason Mercer","Support","(431)875-2071x67811","gneal@schaefer.com","168.0"
"25","Kurt Ewing","Agent","736-974-9946","garcher@hernandez-gibson.com","65.0"
"26","Jonathan Fuller","Sales","(701)401-7026","christy11@walton.com","20.0"
"27","Jonathan Wagner","Agent","+1-958-780-0616","cramos@thompson.com","37.0"
"28","Carly Jordan","Agent","267-819-7889x7782","troy69@gomez.com","12.0"
"29","Bethany Richardson","Agent","001-590-556-1655x6503","brittany14@morgan.net",""
"30","Joel Boyer","Support","001-886-840-7905","ashley71@leonard.com",""
"31","Elijah Montes","Agent","871.583.4404","robbinsbelinda@rogers.info",""
"32","Gregory Jones","Sales","484-268-5366x4987","barbaralewis@hurley.org","70.0"
"33","Susan Michael","Support","001-308-535-7232x4665","sadams@martin.com",""
"34","Corey Sanchez","Support","677-486-6032x4204","stuarttodd@brown.com","172.0"
"35","Sharon Lester","Sales","(951)362-3198x18984","carolmejia@murphy-silva.biz",""
"36","Natasha Walls","Project Manager","221.923.4764","holly15@coleman.com","66.0"
"37","Mike Underwood","Account","7903034864","miaprice@pennington-hardin.com","166.0"
"38","Rodney Young","Account","927.856.0417","jennifer12@green.net","95.0"
"39","Jody Johnson","Manager","3273206345","johnreeves@hines.com",""
"40","Shane Anderson","Agent","(895)843-1652","andrewjohnson@holland.info","165.0"
"41","Michael Jackson","Sales","(896)994-2152x9108","twilson@lee.com",""
"42","Janet Reynolds","Account","293.643.6262","joe73@aguilar-holland.com","172.0"
"43","Casey Morris","Sales","001-763-566-9411x800","modonnell@coffey.com",""
"44","Jonathan James","Manager","(452)380-9242x8757","jennifer62@wilson-williams.com",""
"45","Dr. Douglas Ward MD","Project Manager","294-585-6257x287","brianwhite@green-mccarthy.biz","76.0"
"46","Steven Simpson","Sales","658.477.7121x513","karencarson@macdonald.com","48.0"
"47","Laura Butler","Sales","737-315-0416","eric17@keller.org","134.0"
"48","Erin Williams","Project Manager","+1-875-392-3045x018","pscott@davis-phelps.com","36.0"
"49","James Holland","Project Manager","+1-521-947-6492x5158","emcclure@hart-henderson.biz","115.0"
"50","Lisa Hamilton","Account","(810)385-7327x88147","ievans@leach.com","147.0"
"51","Kristen Lowery","Agent","218.366.1794x54918","lwhite@williams-butler.com","140.0"
"52","Nathaniel Todd","Agent","294.252.3219x416","kwilson@woods.org",""
"53","Elizabeth Li","Project Manager","+1-256-541-2203x103","pwong@graham.net",""
"54","Eric Ford","Manager","560.612.2777x0793","awilliams@mccoy.biz","29.0"
"55","Sarah Mclaughlin","Agent","+1-284-207-6789x973","jray@adams.biz",""
"56","Audrey Dean","Manager","+1-557-760-2437x5738","sanderson@dawson.com","43.0"
"57","Rebecca Richard","Manager","+1-834-917-2232x971","jimmy80@howard.com",""
"58","Carrie Villarreal","Manager","701.256.1931x83745","paula89@garcia.info",""
"59","Nicole Villegas","Account","+1-691-980-8121x352","goconnor@holland.com","151.0"
"60","Dakota Montes","Support","001-403-875-4821x45653","devinpatterson@villanueva-crane.net","161.0"
"61","Heidi Johnson","Agent","(808)211-5562","qmalone@hernandez.net",""
"62","Jennifer Blackwell","Manager","001-584-955-0489x267","pam63@miller-medina.biz","68.0"
"63","Natalie Martinez","Support","+1-443-218-8485","zamoraamber@allen-schroeder.biz","65.0"
"64","Mrs. Amy Watson","Support","+1-585-710-1749x0753","justin92@gray.net","153.0"
"65","Samantha Ward","Sales","926-561-1062","rmiller@powell.com","40.0"
"66","Mallory Barajas","Agent","001-376-522-8277x288","vkennedy@raymond.com","22.0"
"67","Jennifer Martinez","Account","001-640-682-1545","jjohnson@bowers.com",""
"68","Elizabeth Campbell","Project Manager","(970)618-5106","ymccullough@alvarez-cortez.org","36.0"
"69","Charles Fields","Support","001-277-925-1996x63658","debbie20@mccoy.com",""
"70","Angela Friedman","Agent","+1-390-498-3780","hilljamie@combs.net",""
