"investor_id","investor_name","phone","email","company_name","portfolio_id"
"1","Jeremy King","001-390-525-9156","pgeorge@example.com","None","64.0"
"2","James-Robinson","783.403.0739x80333","melinda66@example.net","Reed-Rose","163.0"
"3","Mcdaniel, Jordan and Jarvis","001-951-765-0906x7877","cindy88@example.com","None","121.0"
"4","Martin, Whitney and Miller","(563)602-9106x95869","xcarter@example.org","Walsh Inc","298.0"
"5","Jessica Mason","(243)779-0919","brandiwilliams@example.com","None","130.0"
"6","Richard Taylor","3304049352","kirkortega@example.com","None","331.0"
"7","Robin Carter","+1-758-228-3526x60222","jessicajohnson@example.com","Smith, Sanders and Diaz","93.0"
"8","Vasquez LLC","353.715.2392","katherine21@example.org","Duran Ltd","9.0"
"9","Le-Bailey","001-668-714-1280x3971","michael15@example.net","Hendrix-Peters","10.0"
"10","Daniel White","(297)953-4317","devon23@example.net","None","62.0"
"11","Franco-Benson","(335)537-4163","lowerymargaret@example.net","Perry-Combs","283.0"
"12","Steven Hardy","(745)688-2851x59673","sean92@example.org","Reyes, Acevedo and Taylor","238.0"
"13","Webb-Kidd","985.654.2274","williamssarah@example.org","None","191.0"
"14","Aaron Stewart","001-929-523-2634x2629","jensenmark@example.net","None","306.0"
"15","Delgado-Turner","001-516-395-5329x8627","sbaker@example.org","Orr LLC","384.0"
"16","Lewis-Franklin","382-823-4166x276","maryfischer@example.com","None","90.0"
"17","Ryan Hamilton","(754)859-3762","hughesamy@example.com","Cross-Roberson","46.0"
"18","Knight PLC","(701)283-8516x66004","brianwong@example.net","Marshall-Moore","63.0"
"19","Jerome Wilson","457-483-9652","ucarroll@example.org","None","306.0"
"20","Patrick Hayes","001-374-619-2352x918","kimberly33@example.com","None","77.0"
"21","Schultz-Rice","561-768-4239","qphelps@example.org","Wilson-Harrell","148.0"
"22","Brian Harris","+1-490-388-1580x3060","wesleyrobinson@example.net","Green Ltd","59.0"
"23","George Stephens","859-503-6241x236","kristiadkins@example.net","Hill Inc","37.0"
"24","Wells Ltd","866.613.6283x5550","wilsonalice@example.org","Young-Roberts","105.0"
"25","Diana Reid","540.429.5466","marccline@example.net","None","127.0"
"26","Allen, Luna and Snow","+1-269-581-2747x63392","ryandowns@example.net","None","51.0"
"27","Short-Guerrero","975-268-5468x762","ricardolee@example.org","None","157.0"
"28","Allison Wilson","870-936-9799","dfitzpatrick@example.net","None","160.0"
"29","Brittany Williams","+1-632-357-2111x2986","shawn36@example.com","None","341.0"
"30","Stephanie Smith","3646841849","wmeza@example.net","Rodriguez, Rose and Martinez","296.0"
"31","Vanessa Day","(489)459-6141x901","elogan@example.net","None","128.0"
"32","Rodriguez-Freeman","479-811-3079x954","oware@example.org","Simpson LLC","89.0"
"33","David Cochran","+1-586-725-7476","swalker@example.org","None","347.0"
"34","Taylor May","(962)882-0718","kingkevin@example.com","None","314.0"
"35","Chandler-Bolton","9936489995","jamesadams@example.org","Baker, Duncan and Anderson","346.0"
"36","Benjamin Sutton","943.851.4699x1978","chenjohn@example.org","None","51.0"
"37","Moore, Little and Ruiz","+1-501-883-1126x80058","jonesjuan@example.net","None","212.0"
"38","Brianna Harris","+1-714-570-9547x17743","robert50@example.org","None","14.0"
"39","Seth Thomas","837-426-3367x35825","johnscott@example.org","Vasquez-Coleman","298.0"
"40","Fox-Rice","(578)833-6460","mariahballard@example.com","Robertson Group","16.0"
"41","Vicki Wiley","5467608107","wbutler@example.com","Gomez Inc","114.0"
"42","Martinez-Burnett","7297046594","woodapril@example.com","None","168.0"
"43","Kayla Brown","906-229-9087","ytaylor@example.org","None","257.0"
"44","Pamela Smith","(956)284-5947x03863","chavezwilliam@example.com","None","207.0"
"45","Brian Wu","515.349.7116x79372","paul65@example.org","None","302.0"
"46","Raymond Warren","(736)648-3551x270","littleamanda@example.org","Lopez and Sons","124.0"
"47","Whitney-Reeves","265.324.3775x61222","dominguezadam@example.com","None","239.0"
"48","Elizabeth Parker","687.779.8823x4458","thomasjustin@example.org","Houston, Hall and Gross","137.0"
"49","Smith, Garcia and Leon","751-675-2794x045","timothy07@example.org","Turner-White","45.0"
"50","Ayala Ltd","781.638.1496","hhutchinson@example.com","None","65.0"
"51","Nguyen, Caldwell and Robinson","243-308-9893","kylewatts@example.net","Daniels, Cook and Mullins",""
"52","Romero Group","6649152038","emilypatel@example.net","None","244.0"
"53","Ms. Cheyenne Ingram MD","619-508-8238x2967","devonthompson@example.net","Williams LLC","187.0"
"54","Jeffery Hall","287-517-0064x32362","amandaperez@example.com","Perez PLC","48.0"
"55","Cassandra Contreras","500.731.2420","gregory90@example.org","None","71.0"
"56","Michael Olson","(800)357-5337x57666","jessedonaldson@example.com","None","25.0"
"57","Jones Inc","9542073460","mckinneyjennifer@example.com","None","115.0"
"58","Turner, Smith and Gibson","583.354.0460","smithjessica@example.net","None","277.0"
"59","Ferguson-Wilson","(424)394-8912x9998","tgonzales@example.com","Parrish, Bartlett and Young","320.0"
"60","Daisy Johnson","001-913-616-1333x25186","vaughankatie@example.net","Morgan-Anderson",""
"61","Lutz PLC","505.385.1399","christophercooper@example.net","Dalton-James","192.0"
"62","Foley-Evans","433.519.8585x593","slewis@example.org","None","172.0"
"63","Gabrielle Estrada","488.507.5945","hillmelissa@example.org","Smith LLC","259.0"
"64","Smith-Adkins","5365590195","xgriffith@example.org","Ortiz and Sons","320.0"
"65","Daniel Martin","8803572758","spencer20@example.org","Camacho-Smith","36.0"
"66","Robyn Trevino","727.542.2093x48552","mariawall@example.org","None","286.0"
"67","Sergio Terry","(317)950-7895x9983","brianvargas@example.net","Black and Sons","95.0"
"68","Poole Inc","694.307.1448x2890","jennifermorales@example.com","Gordon-Scott","161.0"
"69","Virginia Anderson","001-618-411-5613","mariocarlson@example.com","Rice LLC","34.0"
"70","Perkins, Thomas and Duran","001-688-555-9230","jennifer56@example.net","Wright-Sanchez","85.0"
"71","Tony Salazar","9949033188","ericmack@example.org","Jones Group","335.0"
"72","Amy Orr","(447)499-2487x53264","james03@example.com","Todd PLC","56.0"
"73","Jennings LLC","+1-797-925-8436x2917","amyreese@example.net","Thompson-Barnett","99.0"
"74","Janice Mills","(438)854-9015x425","ajenkins@example.org","Wilson-Lewis","256.0"
"75","Nichols, Fletcher and Parker","(375)244-5430","andrea40@example.net","Davis LLC","102.0"
"76","Shepard Ltd","5283227339","elizabethgilbert@example.net","Jackson, King and Mills","369.0"
"77","Allen, Robles and Mcguire","912-748-0474x01509","mccarthyroger@example.net","None","25.0"
"78","Walters-Ferrell","001-259-981-8642","mistynash@example.org","None","351.0"
"79","Howard, Castaneda and Lynch","885-237-9712","millermelissa@example.org","None","44.0"
"80","Rodriguez, Norman and Schmidt","001-475-709-3775x837","beth62@example.com","None","345.0"
"81","Julie Torres","720-357-4611x883","jennifer03@example.net","Stephens-Evans","322.0"
"82","Gina Henderson","940-355-4867","colleen47@example.net","None","90.0"
"83","Jennifer James","001-431-408-7617x5499","amyschroeder@example.com","Ball-Macdonald","269.0"
"84","Thomas Smith","245-642-8897x54233","treid@example.org","Cisneros-Gibson","21.0"
"85","Allison Gonzalez","858.481.1030x7803","amanda89@example.org","Conley Ltd","215.0"
"86","Martin Inc","(439)251-4690x12992","gonzalezmichael@example.org","None","30.0"
"87","Wilcox-Davis","2356079696","tbrooks@example.net","Pittman LLC","255.0"
"88","Valerie Allen","827.978.1025x214","melaniewalters@example.com","Gibson PLC","20.0"
"89","Bobby Banks","995-863-2937","mcclurejeremy@example.org","None","149.0"
"90","Howard, Johnson and Nunez","(568)978-5286x829","stephenpalmer@example.net","None","97.0"
"91","William Ewing","273.858.9944x7231","parkerronnie@example.org","Becker-Hernandez","5.0"
"92","Foster-Brown","220-363-0055","uponce@example.com","None","11.0"
"93","Ashley Wilkins","958-425-0403x9558","millermegan@example.net","None","350.0"
"94","Kenneth Williams","(506)796-1503","gamblejoshua@example.org","None","313.0"
"95","Adams LLC","583.232.4222x0371","kevinbooth@example.net","Washington LLC","131.0"
"96","Manuel Lee","+1-350-644-5145","alisonjennings@example.org","None","235.0"
"97","Steve Jacobs","001-706-556-4230x339","davistimothy@example.org","None","168.0"
"98","Calhoun, Diaz and Benitez","718-444-2401","matthew78@example.com","None","257.0"
"99","Cody Baker","285.412.8299x0927","esingleton@example.org","Scott, Middleton and Moore","15.0"
"100","Haynes-Davis","571.565.9194","grahamjames@example.org","None","171.0"
"101","Mayer-Fernandez","+1-203-988-7956","toddwashington@example.com","None","238.0"
"102","Kevin Powell","8622160948","raymondsmith@example.org","None","81.0"
"103","Tina Brown","8698459143","kathy25@example.org","Mathis LLC","243.0"
"104","Julian Garza","001-770-383-7415x3953","gardnerlisa@example.com","None","304.0"
"105","Spencer Group","394-466-1514x30212","rebeccawatson@example.net","Peters Group","60.0"
"106","Perez PLC","8363445562","gduffy@example.net","None","214.0"
"107","Michelle Smith","571-470-6973x53295","garciasamantha@example.net","None","65.0"
"108","Drew Stevens","468.228.6834x535","james96@example.net","Moreno LLC","66.0"
"109","Smith and Sons","(776)362-5592x61760","wrightjacqueline@example.com","None","368.0"
"110","Russell Jones","+1-563-209-2956x576","brandon82@example.org","None","376.0"
"111","Tyler Lopez","(525)808-8790x74373","robersonkimberly@example.com","Ellis LLC","340.0"
"112","Dana Santana","001-805-804-8487x06352","donald59@example.com","None","106.0"
