customer_id,first_name,last_name,gender,age,phone,email,avg_income,customer_type,is_ReferenceOnly,segment_id,Employee_id
1,Michael,Woodward,Other,30,392.209.0855,jessica91@example.org,142911.53,Renter,F,6,255
2,Stephanie,Ford,Other,66,490-425-4760,xlove@example.org,34745.11,Investor,F,11,335
3,Lisa,Hale,Male,72,+1-220-312-2759x50026,rogersmichelle@example.org,117376.23,Buyer,F,54,286
4,Tammy,Alexander,Other,69,9742071732,dawn31@example.org,123309.43,Investor,F,6,21
5,Toni,Bernard,Other,46,603-391-0452x0360,courtney13@example.net,87705.48,Buyer,F,42,105
6,Nicole,Moyer,Other,38,(835)995-2056x100,sandersroy@example.net,148606.63,Investor,F,32,319
7,Charles,Love,Other,45,703-578-4233x944,longstephen@example.org,187201.57,Investor,F,31,123
8,Mark,Martin,Other,23,4176365426,lmedina@example.net,185485.86,Renter,F,30,35
9,Courtney,Robinson,Female,49,851-610-0906x0530,hernandezrebecca@example.org,92913.68,Renter,F,29,210
10,Philip,Norton,Male,40,857-659-8875x9212,pwilliams@example.com,27081.42,Investor,F,22,308
11,Laura,Ellis,Female,28,421.547.7092x07115,jaimegraves@example.org,197044.03,Investor,F,47,174
12,Deborah,Jones,Male,40,797.705.9161x18638,ashley77@example.org,168585.13,Renter,F,33,285
13,Patrick,Fletcher,Female,48,478.993.1869,martin40@example.net,29309.22,Renter,F,30,60
14,Wendy,Jackson,Male,38,(400)528-3948,briandavis@example.com,184564.17,Prospect,F,10,47
15,Vanessa,Simon,Female,35,465-299-3020,hilljennifer@example.org,174629.79,Renter,F,56,313
16,Melissa,Love,Other,66,(221)835-3028x165,rgonzalez@example.org,106173.42,Investor,F,53,165
17,Jennifer,Donovan,Male,51,475.369.1983x210,harrisonnicholas@example.net,120298.71,Prospect,F,13,388
18,Michelle,Perkins,Female,21,804-438-4196,solisjames@example.org,82805.53,Buyer,F,32,155
19,Tommy,Richardson,Female,35,(267)606-3621x98655,kevin07@example.com,15678.52,Renter,F,26,256
20,Tina,Jacobs,Male,23,001-439-465-0496x273,ryanflowers@example.org,70363.46,Investor,F,38,178
21,Tanya,Robinson,Other,63,+1-325-885-4218x80879,jennifersolomon@example.net,161556.42,Prospect,F,32,303
22,Diane,Baker,Male,74,+1-753-524-7250,joseharris@example.org,5903.24,Buyer,F,19,272
23,Chris,Charles,Female,66,(605)745-7694x7576,tammy65@example.net,70032.34,Investor,F,28,66
24,Vickie,Long,Female,22,763-242-1254,sara94@example.net,82642.9,Prospect,F,49,204
25,Lisa,Hodges,Other,32,559-766-4721x30742,hunter14@example.org,109792.14,Investor,F,4,289
26,Debra,Wright,Male,44,(214)254-3079x63731,wbentley@example.org,184371.85,Prospect,F,36,145
27,Sarah,Richardson,Female,72,884-952-3542,megan70@example.org,72537.47,Buyer,F,49,279
28,James,Kane,Female,43,001-886-752-3777x296,jamessmith@example.com,72655.87,Investor,F,9,47
29,Debbie,Buckley,Male,32,(278)210-5580,lgates@example.net,148812.74,Prospect,F,36,185
30,Cameron,Flores,Male,22,860-394-3913,rebekahgonzalez@example.org,93182.5,Renter,F,33,18
31,Cindy,Fletcher,Female,53,(709)729-7352,eddiehernandez@example.net,48797.94,Prospect,F,46,168
32,Jeremy,English,Other,28,8458735323,teresa76@example.org,93225.71,Investor,F,10,308
33,Andrea,Williams,Female,30,(497)818-2360x1071,deanna83@example.net,32467.12,Prospect,F,60,311
34,Janice,Wade,Female,57,001-548-546-7357x422,stephaniegillespie@example.net,39395.46,Investor,F,40,376
35,Cynthia,King,Other,51,(789)522-2560x629,mcculloughjohn@example.net,102181.72,Investor,F,33,258
36,Michelle,Jones,Female,41,+1-904-767-4130,kelsey85@example.org,86690.46,Buyer,F,31,6
37,Pamela,Robinson,Female,70,(760)884-6397,jessica70@example.com,183394.95,Buyer,F,27,296
38,John,Lloyd,Female,61,(316)841-1955x640,shannon75@example.org,75666.81,Renter,F,39,240
39,Thomas,Shepherd,Other,50,626-320-1971x212,karenjordan@example.net,118214.73,Renter,F,47,24
40,Steven,Sullivan,Other,59,412.467.7319,bleonard@example.com,128291.54,Prospect,F,34,320
41,Heather,Wong,Male,22,(533)294-3191x654,jessethomas@example.org,7553.42,Buyer,F,10,346
42,Brenda,Wilkinson,Female,40,964.849.7470x0026,amy67@example.com,134389.79,Prospect,F,13,7
43,Ashley,Mclean,Other,33,(536)956-0450x06355,chapmanpaul@example.com,39717.01,Prospect,F,10,209
44,Christina,Alexander,Other,50,+1-295-429-6353x0597,daniel82@example.com,192408.71,Buyer,F,33,394
45,Emily,Evans,Other,33,594-689-8959x65466,nancy43@example.com,33989.23,Investor,F,46,68
46,Kristen,Salazar,Other,44,001-999-639-3449,natalie40@example.net,85851.7,Investor,F,43,242
47,Dustin,Watkins,Other,41,(397)539-8894,coffeywhitney@example.net,21643.19,Investor,F,12,233
48,David,Wilson,Other,63,001-407-454-8534x65579,alejandroturner@example.net,199390.48,Investor,F,44,393
49,Melanie,Hickman,Male,35,001-793-890-0251x2137,llee@example.com,102928.03,Investor,F,40,245
50,Tamara,Arellano,Male,39,001-693-714-5843,ewalker@example.org,121100.08,Investor,F,36,150
51,Brandon,Phillips,Other,65,662.420.3347,gclark@example.org,18079.91,Prospect,F,46,104
52,Jesse,Klein,Female,55,368.900.8529x46902,caleb43@example.org,151242.29,Investor,F,21,243
53,Jared,Brown,Other,63,+1-850-722-8946,uwalton@example.org,45931.59,Prospect,F,19,60
54,James,Hanson,Female,69,5202256913,robinsonjon@example.com,180120.59,Renter,F,58,200
55,Carlos,Santiago,Female,65,250.476.2799x553,jason12@example.org,45002.23,Buyer,F,19,19
56,Lisa,Young,Other,36,420-428-4719x017,brett50@example.com,42184.11,Prospect,F,23,224
57,Sabrina,Guerrero,Other,37,001-817-775-4619x9240,rmoore@example.com,12127.19,Investor,F,14,101
58,Matthew,White,Other,67,+1-909-556-6844x823,eberry@example.org,97053.05,Renter,F,9,53
59,David,Krause,Other,53,678.203.5869x01707,michaelmatthews@example.net,115144.02,Renter,F,16,23
60,Heather,George,Male,26,412.222.7643x3872,edward16@example.org,17813.18,Prospect,F,41,117
61,Erin,Garza,Female,26,930.283.3444,lromero@example.com,156227.89,Renter,F,22,365
62,Joseph,Brock,Male,46,(496)885-1953x774,ernestrich@example.net,93391.32,Prospect,F,1,279
63,Robert,Lopez,Male,68,352.425.9206x1658,valdezashley@example.org,107256.1,Investor,F,31,331
64,Brittany,Jones,Other,23,802.595.5963,debbiejackson@example.net,90948.74,Buyer,F,21,144
65,Elizabeth,Williams,Male,54,554-598-0851,dianawolf@example.org,83148.8,Buyer,F,42,291
66,Joseph,Bush,Female,73,312-721-2154,istephens@example.com,114129.86,Renter,F,59,87
67,Kenneth,Garcia,Female,70,954.988.0644x20062,mariemeyer@example.net,35271.85,Prospect,F,60,16
68,Dana,Bautista,Female,22,001-441-496-2342x1926,isaactorres@example.org,40475.99,Buyer,F,12,381
69,Justin,Patel,Other,26,678-391-1797x2699,danieldunn@example.org,173048.2,Investor,F,20,288
70,Nancy,Ortiz,Other,54,001-500-305-3285x386,crystal52@example.com,189492.52,Prospect,F,19,230
71,Olivia,Pierce,Other,49,(882)469-2990x076,omahoney@example.org,77795.32,Investor,F,57,66
72,Nicole,Nunez,Female,30,476.818.5186,wrightandrea@example.org,57795.21,Prospect,F,13,55
73,Teresa,Moore,Other,31,439.921.8835,wnguyen@example.net,130579.91,Buyer,F,42,129
74,Richard,Snyder,Female,56,+1-406-959-2088x1431,gwilson@example.net,84703.16,Renter,F,48,170
75,Michael,Riley,Other,45,+1-745-872-0266,cherylgomez@example.org,9950.34,Prospect,F,12,310
76,Mario,Parker,Male,45,653-994-6074x29907,thenderson@example.org,35449.76,Buyer,F,33,165
77,Audrey,Washington,Female,40,+1-697-847-4859,mckayjames@example.net,144614.58,Renter,F,12,69
78,Daniel,Sanchez,Female,35,653.769.8816x49804,elizabethrobertson@example.com,133490.17,Prospect,F,1,131
79,Mark,Wilson,Female,39,(262)270-6648,amanda45@example.net,10283.72,Buyer,F,49,134
80,Kayla,Hawkins,Female,64,+1-705-874-8839x97418,hernandezsusan@example.com,48284.57,Renter,F,17,332
81,Brandon,Williams,Male,49,001-666-519-9530x5641,ryan90@example.net,50059.59,Investor,F,4,339
82,Robin,Valdez,Other,52,(260)501-3651,kevin42@example.net,136019.09,Investor,F,11,205
83,Phillip,Ortega,Other,38,+1-365-724-0622,ibrennan@example.com,8843.55,Investor,F,45,58
84,Kayla,Mcmillan,Male,28,690-953-3470,tlester@example.net,25301.17,Prospect,F,40,111
85,Gail,Watson,Other,58,+1-465-621-3835x071,jeffery29@example.org,160983.64,Investor,F,10,230
86,Joyce,Anderson,Other,50,617-532-7726,jennifer58@example.com,39816.21,Renter,F,27,357
87,Henry,Jackson,Other,68,(351)961-8575,rogersbrett@example.net,132285.49,Buyer,F,49,124
88,Michael,Green,Other,65,947-335-3524x7841,jacqueline97@example.org,51445.64,Investor,F,34,226
89,Keith,Johnson,Male,23,588.403.3183x6113,palmerwilliam@example.org,24391.07,Renter,F,5,286
90,Michael,Castillo,Male,30,404.386.2515,ricky35@example.net,52418.58,Investor,F,37,272
91,Timothy,Garcia,Female,27,(467)834-4671x776,jeffrey62@example.net,145842.05,Renter,F,55,264
92,Pamela,Green,Female,25,7999990010,schmidtjesus@example.net,171860.81,Prospect,F,46,296
93,Frank,Fernandez,Female,28,+1-784-942-4648x84997,madison75@example.net,166892.87,Prospect,F,52,26
94,Karen,Dougherty,Male,55,001-302-421-7978,daniellesolomon@example.com,82450.79,Prospect,F,30,286
95,Steven,Christensen,Other,21,351-443-6728x681,clarkwesley@example.com,135276.6,Prospect,F,44,155
96,Kimberly,Lynch,Other,33,+1-414-359-0099,xray@example.com,44971.94,Buyer,F,17,
97,Ann,Middleton,Female,64,751.558.8070,vsmith@example.org,62163.81,Buyer,F,3,214
98,Barbara,Smith,Male,50,001-274-225-5136,foleyjennifer@example.org,179785.48,Buyer,F,35,28
99,Mark,Evans,Male,69,461.958.7366,hannahhicks@example.net,7535.38,Renter,F,19,207
100,Ashley,Gomez,Other,61,001-705-885-6154x731,brendacarroll@example.com,21674.16,Prospect,F,50,326
101,Kristy,Garcia,Female,75,469.902.8377,amyfisher@example.net,45537.82,Prospect,F,24,193
102,Robert,Sloan,Other,62,(281)364-4161,cynthia35@example.net,10173.78,Renter,F,25,39
