Employee_id,Employee_name,role,phone,email,project_id
1,Brenda Alexander,Manager,7035342342,andrewcameron@smith.com,79
2,Stacey Morgan,Agent,573-555-2896x1122,louis63@hines.com,19
3,Erin Brown,Manager,(489)873-1791,lstone@marquez-fox.info,112
4,Kevin Little,Project Manager,833.473.6346,andrea21@wallace-bell.org,115
5,Marc Simmons,Support,(365)675-4602x73415,sara11@ward.com,153
6,Gary Turner,Agent,892.884.0445,wvaldez@grimes.com,94
7,Jose Hartman,Account,001-775-415-3663x7780,sherry07@flowers.biz,4
8,Alexander Floyd,Manager,(859)399-9663,thomasmurphy@fowler-torres.com,80
9,Cassandra Serrano,Manager,3239164334,april25@myers-mayo.com,121
10,Benjamin Friedman,Agent,(534)967-2994,adrianthomas@summers.com,87
11,Sherry Stevens,Agent,001-814-975-4692x6329,hollydavis@bautista.com,84
12,Andrea Barber,Support,568.215.1185x6724,jonesheather@murray.com,149
13,David Fletcher,Project Manager,277-371-1837x27422,david62@powers.com,67
14,Christopher Klein,Project Manager,508.516.4709x006,jamessmith@hays.com,
15,Stephen Robles,Sales,001-820-868-1558x3938,jasonkelly@smith.com,45
16,Jimmy Jones,Support,+1-495-601-3649x7189,tina62@thompson-gill.com,58
17,Alan Barr,Account,(583)389-0309x1436,nicholasphillips@bennett.com,101
18,Linda Bautista,Manager,(745)708-6403,amberknox@mcneil.com,139
19,Catherine Soto,Account,313.802.3212x9833,frank33@thompson-wright.com,173
20,Christina Huffman,Support,856-462-7768,gillronald@blake.org,162
21,Casey James,Account,546.289.7152x732,travis66@brooks.org,122
22,Andrew Dorsey,Sales,001-223-864-5875,johnjohnson@mccoy-rhodes.com,1
23,Terry Hernandez,Manager,+1-892-401-1669x183,heather88@tanner.com,72
24,Paula Cooper,Support,836-640-2701x168,gregorylopez@gonzalez.net,100
25,Robert Lopez,Agent,001-323-646-7912x1416,anthony37@chambers-garcia.com,59
26,Adrienne Aguilar,Project Manager,938-706-9847,nathan55@everett.biz,166
27,Vanessa Marks,Account,5767209184,qrobertson@smith.com,91
28,Shelley Montes,Project Manager,+1-573-497-6915x67164,tylermiller@davies.info,138
29,Mr. David Jackson,Account,960-325-6434,sdavis@wiggins-huynh.org,85
30,Jamie Love,Agent,+1-586-333-4141x1159,melissafinley@mclaughlin.com,137
31,Emma Diaz,Support,999.431.6087x52437,juliesweeney@johnson.com,87
32,Michelle Mendoza DVM,Agent,260-852-3302x7642,wgregory@myers-rose.com,113
33,Chloe Chase,Agent,425-990-4729,phyllis33@gonzalez.org,75
34,Virginia Hernandez,Sales,+1-820-515-7201x85962,allentracy@carlson.com,56
35,Marie Hill,Agent,(901)611-1783x099,patrickcooke@hamilton.com,46
36,Michael Long,Support,489-281-3129,david29@delgado.net,27
37,Amanda Whitney,Support,(482)960-3408x487,catherine83@garcia.com,134
38,Ronnie Bernard,Manager,001-654-829-6184,qbryant@coleman.com,44
39,Melissa Lee MD,Support,(825)366-0931x41818,coxmatthew@thomas-yates.com,52
40,William Walker,Agent,628-649-7185,jacksonstacey@white-shaffer.net,120
41,Cameron Smith,Project Manager,+1-722-969-4053x96727,stephanie83@reid-miller.com,147
42,Sarah Walters,Agent,001-431-929-0148x7068,sullivanchristina@smith.com,149
43,Mary Knapp DVM,Manager,+1-872-983-2152x850,nathanielwilson@wright.com,22
44,Edward Lewis,Manager,248.907.9705,michael05@lopez.info,72
45,Jose Hernandez,Manager,602.343.7654x5628,wmartin@hamilton.com,89
46,Andrew Foster,Sales,9234741678,vshaw@anderson-rosario.com,74
47,Jonathan Saunders,Project Manager,9563906744,christinadaniel@wright.com,178
48,Jessica Wells,Agent,001-689-523-9231x260,msmith@lin.biz,29
49,Veronica Walker,Sales,708.260.4145x4563,smithdonna@lewis-kennedy.org,8
50,David Henry,Agent,511-608-2555x9895,gmiller@soto.com,138
51,Susan Pena,Manager,571.418.9547,jamespierce@snow-malone.net,175
52,Joan Love,Account,476-688-0294,bauerheather@olsen.net,160
53,Paul Cruz,Sales,(694)632-0293x9087,jeanette81@walker.com,23
54,Charles Stephenson,Agent,603-438-1059x551,mark00@robinson-sanford.com,143
55,Kimberly Irwin,Account,001-464-998-3735x4396,erichardson@crawford.com,117
56,John Blair,Agent,3428269312,zstout@ramsey.com,109
57,Alex Serrano,Sales,(731)342-9001,timothyhart@ochoa-parker.info,44
58,Joshua Adams,Account,2015841862,ronaldhernandez@mitchell.com,61
59,Brian Garcia,Sales,(719)451-5109x226,patriciamcdaniel@roth.info,26
60,Rita Dawson,Account,3228526771,christophercooley@saunders.com,99
61,Michael Gutierrez,Project Manager,(536)868-7887,xrose@shepherd.com,15
62,Samuel Cox,Support,(810)555-2472,briantaylor@padilla.biz,158
63,Brian Perkins,Manager,+1-420-425-2131x096,kaitlinhale@harrison-sharp.info,10
64,Christopher Ibarra,Project Manager,+1-628-520-6678x498,josephdavis@spence-martinez.com,35
65,Colleen White,Sales,001-377-356-6205x634,carrie50@campbell.com,74
66,Adam Browning,Sales,+1-930-234-1990,christopher40@walton-benjamin.net,60
67,James Kelly,Account,001-215-668-1820x967,faithmiller@davis.com,139
68,Kathryn Gay DDS,Project Manager,325.445.9606x339,ballarddouglas@payne-novak.com,152
69,Erik Villa,Manager,649-955-1127,isantos@bonilla.com,155
70,Jennifer Vincent,Account,258.595.5168x740,melissaroberts@hudson.com,130
71,Maureen Bailey,Account,+1-787-711-2166x3651,jacquelinealvarez@gibson-gardner.info,112
72,Erica Johnson,Project Manager,6566730306,thomasjoshua@evans.info,73
