investor_id,investor_name,phone,email,company_name,portfolio_id
1,Stephanie Sanchez,760-551-0306x8744,azimmerman@example.com,Gonzalez Inc,153
2,Monica Estrada,+1-816-294-5353x01760,baileytanya@example.net,Sharp-Gonzalez,255
3,Hays PLC,8068710359,xchandler@example.com,Roberts and Sons,308
4,Martin Rodriguez,895.811.9572x7643,wwolfe@example.net,Ruiz PLC,94
5,Caldwell-Bird,3736808252,awilson@example.net,,334
6,Sanchez LLC,001-558-903-6685x2509,nicholsnicole@example.org,"Hale, Harris and Petersen",367
7,Andrew Lee DVM,+1-862-610-4458x6785,davidlee@example.org,Stevens LLC,181
8,Williams PLC,(545)742-1791,tsmith@example.com,"Crawford, Stout and Jones",85
9,Joseph Hartman,001-443-730-8470,emilythompson@example.org,"Rhodes, Watson and Rice",103
10,"Moss, Sanders and Escobar",561.871.8031x903,rileymichael@example.net,Jennings-Howard,202
11,Michael Adkins,346.544.2794x32482,ethanprice@example.net,,98
12,"Garcia, Mendez and Carter",001-569-838-7571x84149,lauren31@example.net,"Anthony, Scott and Rivas",49
13,Cynthia Martinez,001-368-948-2815x864,danielsmith@example.net,Hill-Collins,1
14,Mark Morrison,808.361.0296,walshtricia@example.net,Fletcher Ltd,298
15,Lynn Olsen,540-900-8544x235,ashleyhopkins@example.net,,43
16,Miller-Hodges,4979029036,griffithmark@example.net,Snyder-Stokes,11
17,Robin Porter,001-489-859-9096x342,qware@example.org,"Jacobson, Robinson and Jenkins",339
18,Santiago Group,906.303.4588x5408,elizabethrobinson@example.com,Cooke-Mora,229
19,"Graves, Campbell and Swanson",+1-382-538-6825,myersmichelle@example.org,,323
20,Jonathan Brown,817-487-5822x61228,carriesingh@example.com,Aguirre-Atkins,185
21,Todd Lewis,(830)521-7671x515,kevinrobertson@example.net,Clark Ltd,157
22,"Nash, Garcia and Turner",001-630-249-3871,charles24@example.org,,127
23,Patrick Huynh,970.414.3848,alexandra53@example.org,,35
24,Bryant-Orr,839.888.7125x24531,oharris@example.net,,308
25,Adams Ltd,+1-451-936-1680x27101,hurleygary@example.com,Coleman Ltd,86
26,"Williams, Reynolds and Johnson",253.399.9028x1611,susanwalker@example.com,Jones-Jackson,10
27,Laura Young,205.676.7865x290,brooksbrian@example.com,Butler Group,191
28,"Anderson, Owen and Wood",+1-888-642-4596x7878,eparker@example.net,Taylor-Tyler,122
29,Mark Jensen,629-234-3738,williamssarah@example.net,,320
30,Garcia-Day,+1-692-548-9602x874,gdecker@example.net,,267
31,Sierra Martinez,824-844-3152,ashleeperez@example.net,Boone PLC,349
32,Brown Inc,212.993.5577,thomaspalmer@example.com,Walsh PLC,201
33,"Jimenez, Mcneil and Alvarado",397.659.7278x559,bryce72@example.org,,394
34,Buchanan Ltd,477-777-5799,smithjoel@example.org,Mosley Group,356
35,Emily Wilson,250.680.8327x6876,christophersmall@example.net,"Riddle, Fischer and Mccoy",3
36,Cody Carlson,+1-676-777-3577x64173,hgarcia@example.org,"Stewart, Johnson and Johnson",48
37,Justin Dodson,+1-789-263-7625x05847,emily05@example.net,,79
38,Dr. Elizabeth Calhoun MD,3792392928,burnsalexander@example.org,,6
39,Matthew Garcia,925-734-1109x2455,angela10@example.org,,253
40,Mays-Andrade,+1-865-506-8746,gallowaychristina@example.net,,27
41,Barrett-Williams,755.888.3551x964,michellemayo@example.net,Berger and Sons,92
42,Julie Silva,+1-769-277-5838x68815,icunningham@example.net,Diaz-Salazar,54
43,Jennifer James,+1-416-994-3037x14967,matthew47@example.net,,255
44,"Ruiz, Fritz and Myers",(975)722-1824x6644,hrussell@example.org,Robinson LLC,179
45,Nathan Tanner,001-540-286-1880x183,joycericardo@example.com,Nguyen PLC,216
46,Jennifer Dennis,629.489.0437x6827,kevin27@example.org,,285
47,Aguilar Inc,665.959.2224,christine60@example.com,,165
48,Benjamin Wheeler,(339)850-3167x7937,julie93@example.org,,164
49,Kayla Watts,448-912-3614x319,brandibecker@example.org,,160
50,Emily Shaw,8695602978,sherri59@example.net,Nguyen PLC,224
51,"Saunders, Trujillo and Chen",+1-788-461-8992x1888,wardmaria@example.com,Parrish-Stevens,354
52,Heather Matthews,510.878.2359x30718,dlamb@example.com,"Jensen, King and Roberts",178
53,Sally Edwards,001-398-470-3847x1773,rogersbilly@example.org,"Bridges, Griffin and Hall",162
54,Karen Atkins,+1-206-265-5457x94542,hendrixeric@example.com,"Gardner, Scott and Savage",33
55,Crystal Lucas,+1-732-914-4977x827,jeffrey53@example.org,"Lynch, Ward and Douglas",223
56,James Greer,343.431.1294x6621,valerie86@example.com,Clarke-Floyd,105
57,Jeffery Lawrence,668.449.4941x347,richardgarcia@example.org,,368
58,Michael Dyer,001-226-468-8038x66969,vnovak@example.com,Pugh Inc,338
59,"Ortega, Davis and Sanchez",748.624.5427x463,vasquezmisty@example.net,,377
60,Hughes and Sons,+1-364-943-4300x885,erin37@example.org,Sampson Inc,284
61,"Perez, Henry and Spears",001-688-387-8529x536,boylemichelle@example.org,,125
62,Natalie Hall,+1-773-877-8738x09664,madelinejohnson@example.com,"Mcdaniel, Allen and Alexander",378
63,Michael Rodriguez,(601)970-6162,wilsonjamie@example.org,,71
64,Brian Johnson,471.590.3742x46501,christopher45@example.org,"Owens, Davis and Green",90
65,Melinda Wilson,001-646-726-1997x979,millerjennifer@example.com,"Olsen, Obrien and Murphy",276
66,Henry Inc,001-615-969-1694x51697,wguzman@example.com,,338
67,"Adams, Hernandez and Robertson",(717)584-9128x7631,heather87@example.com,,112
68,Jesse Johnson,(617)419-4741,devin63@example.org,Williams Ltd,213
69,Davis Ltd,+1-482-967-5124,lisa93@example.org,,183
70,Mark Jones,585.466.2133x26104,suttonjustin@example.org,Martin Ltd,369
71,"Walker, Evans and Jordan",001-354-244-9715x13686,williamsdwayne@example.net,,37
72,Gregory Jordan,446-826-9428,imurray@example.net,Nelson Inc,282
73,Cheryl Harper,+1-610-559-8276x03774,jillianfletcher@example.net,,72
74,Travis Coleman,660.757.4567,andrew43@example.com,Doyle Ltd,89
75,Kayla Rhodes,6874248940,elizabethshields@example.net,"Forbes, Lozano and Kirk",50
76,Anne Mitchell,255.281.2670,ucoleman@example.net,Harris PLC,34
77,Harris-Heath,272-309-0978x62730,fsmith@example.com,Campbell-Peterson,35
78,Michael Flynn,913-678-0059,colinkelly@example.org,Tate PLC,68
79,"Arias, Stone and Garcia",001-721-542-6817,wrandolph@example.org,,89
80,Nathan Tran,428.691.5655x28600,manuellucas@example.com,Matthews-Irwin,375
81,"Cantu, Miller and Collins",(218)352-1283,ryansullivan@example.org,,295
82,Scott Davis,9658274763,robleswilliam@example.com,,270
83,Zachary Gonzalez,+1-994-205-1918x589,pterry@example.com,"Powell, Marshall and Burns",166
84,"Harris, Goodwin and Frank",5379006079,ccarrillo@example.org,Ibarra LLC,40
85,Gonzalez Ltd,3227732278,susan69@example.com,,64
86,Ochoa Group,912-385-1520,katherine31@example.org,,321
87,Tracey Murillo,+1-486-977-5813x49118,rebeccaharrell@example.com,,173
88,Eric Ortiz,675-686-3368,bellmegan@example.com,,304
89,Jennifer Francis,288.797.5266x31286,hannabarbara@example.org,,253
90,Timothy Jones,001-310-674-8371x187,josephmiller@example.org,,264
91,Nicholas Mcdaniel,(473)946-4375x1613,bkirby@example.net,,158
92,Ramirez-Flynn,3178278687,angelamichael@example.com,Smith Inc,281
93,Ryan Romero,(952)298-0432,ljohnson@example.org,Gonzalez and Sons,355
94,Jackson Inc,001-518-392-5529,xcox@example.net,,255
95,Scott-Hardy,8804446745,thomas49@example.com,,362
96,Casey Wolf MD,001-954-339-0432x6800,mackenziechavez@example.org,,300
97,Sims and Sons,505.393.5433,hendersonsarah@example.com,Terry-Williams,142
98,Lindsey PLC,497-449-2460,amy40@example.org,Fritz-Jackson,174
99,Sara Allen,+1-550-962-2063x5541,adamscynthia@example.org,,107
100,Sanchez-Nelson,+1-535-351-1246x00708,ashley55@example.com,Cook-Butler,56
101,Willie Johnson,401-527-4515x324,joseph98@example.com,,47
102,Susan Johnson,317-223-1295x780,shawnwebb@example.net,,230
103,Jessica Munoz,311-924-1104,eugene72@example.com,Cole LLC,61
104,Clinton Stein,229.302.9750x3781,williamslarry@example.com,"Weeks, Gonzalez and Rose",164
105,Harris PLC,466.463.8138x358,kathryn85@example.com,,334
106,Miller Group,001-797-444-3392x1995,jamiecollins@example.net,,386
107,Cohen-Ruiz,+1-415-723-0977,sharon78@example.com,Watson PLC,379
108,"Smith, Horton and Moore",735.782.2649x105,garciajay@example.com,,292
109,Melanie Sullivan,974-204-6331,dclark@example.com,,287
110,Cook-Holt,8228002999,shelleycopeland@example.net,Lowe and Sons,122
111,Thomas Miller,3258030278,jdunn@example.net,,328
112,Jennifer Carlson,931-994-6200x39278,fmendoza@example.org,,248
113,Miller Ltd,+1-685-860-8610x114,scotttravis@example.com,Hill Ltd,231
114,Lisa Molina,001-448-291-1654x1982,imorris@example.net,,135
115,Brooke Thompson,001-689-386-4388x64791,nicole01@example.com,,3
116,Hubbard-Douglas,+1-208-283-1325x7747,bradley02@example.org,,78
117,Newman Ltd,456.715.8963x46737,davisscott@example.net,Smith Inc,288
118,"Jones, Ford and Blevins",680-288-1898x298,ialvarez@example.com,Johnson-Flores,215
119,Beth Hoffman,2519277685,psutton@example.com,Lyons and Sons,169
120,Hicks-Hill,001-385-810-5130x0462,beth42@example.net,,257
121,"Nolan, Branch and Garcia",+1-854-218-9541x342,austindouglas@example.org,,2
122,Nathaniel Romero,950.589.4814x731,ereed@example.org,,123
123,Barnett-Schaefer,+1-896-465-0505x368,ggreen@example.net,,300
124,Phillips Group,(943)795-7277,lhughes@example.org,"Harris, Wilkerson and Tucker",355
125,Anthony Thompson,603-856-4458,philip76@example.com,,337
126,Jonathan Marsh,(338)261-5445x467,jamie55@example.net,"Wood, Duarte and Roberts",155
127,Amanda Mcdaniel,862.986.8176x6765,shannon39@example.org,Hoffman-Garcia,255
128,Vanessa Garcia,617-599-0838,katelynclark@example.org,,174
129,Morgan-Beasley,+1-812-235-1636x19029,patrickjamie@example.net,"Barrett, Beltran and Boyer",281
130,Jensen PLC,5923123107,natasha77@example.com,,177
131,Jessica Wright,2356262765,ubeck@example.net,Summers-Mckenzie,86
132,Simmons-Lang,687-381-6850,nancygonzalez@example.com,"Santos, Davis and Wilkins",127
133,Park LLC,+1-527-710-3253x294,travisowens@example.net,Stewart-Gardner,211
134,Aaron Brooks,+1-955-615-8610x1791,watsonamy@example.com,,237
135,"Pearson, Johnson and White",+1-877-947-2792x10699,dannyharrison@example.net,"Dickerson, Miller and Brooks",130
136,"Roberts, Werner and Fowler",585-716-1551x74383,kbrady@example.com,,37
137,Elizabeth Palmer,(488)598-7084x9199,david94@example.com,Kennedy-Ramos,31
138,Edwards LLC,351.526.9044,hmonroe@example.com,,374
139,Lynn Lopez,866-979-4175,bowmancheryl@example.org,Wilson Ltd,301
140,Laura Ellis,001-941-972-1312x73653,hensleyclaire@example.net,,268
141,Lisa Brown,628-986-0233x636,vbowman@example.net,,83
142,Smith-Simmons,405-404-6105,xflores@example.com,,170
143,Joseph Mueller,+1-982-245-8645x3639,torrescourtney@example.org,"Heath, Wright and Fields",144
144,Yolanda Petersen DDS,(870)936-3418x36610,lauren82@example.com,"Martin, Hall and Williams",210
145,Amy Rice,(931)800-6046x006,edward69@example.org,Adams LLC,252
146,Lloyd Group,(792)246-7525,diana47@example.net,,111
147,Scott and Sons,856-674-0970x960,jennifer85@example.org,"Christensen, Maldonado and Price",65
148,Donna Smith,796.919.0452,eatonrachel@example.net,"Sutton, Hill and Martin",292
149,Mary Williamson,001-886-447-3782x767,alankey@example.com,,363
150,Peter Lewis,(967)307-6963,gwilliams@example.com,Stewart PLC,83
151,James Wagner,321-989-5794,brooksrhonda@example.net,,242
152,Tucker Ltd,+1-660-920-5043x9473,williamsdanielle@example.org,"Gibson, Casey and Molina",318
153,Mr. Jeffrey Hunter,(859)251-0088,lopezcassandra@example.net,Gardner-Ochoa,292
154,Michael Duffy,+1-385-426-2727,rebeccashelton@example.net,,156
155,Mr. Randy Erickson,(653)446-1018x669,jessicanguyen@example.net,,214
156,Matthew Hernandez,809-545-5758x7887,gardnertammy@example.com,,142
157,"Drake, Bell and Ashley",+1-873-311-5524x464,rcobb@example.com,Barker and Sons,60
158,"Rowe, Oliver and Rosales",7156911809,brandonmoran@example.com,"Mills, Bailey and Snyder",184
159,Austin Group,631.564.1338x90077,clarkaaron@example.org,Washington-Barber,108
160,"Campbell, Phillips and Gross",986.702.7269,robin88@example.org,,138
161,Denise Carter,940.886.2265x291,unolan@example.net,Ortiz-Quinn,400
162,Hayley Robinson,865.686.1511,halldustin@example.com,,77
163,Nichols-Escobar,+1-684-247-7720,gregoryharper@example.org,"Brown, Stephens and Larson",210
164,Carlos Ferguson,627.543.0847x33147,kmcintyre@example.net,,128
165,Tara Ramirez,(399)985-0655x011,brian79@example.org,,341
166,Brittney Shea,001-370-223-7437,rhondazimmerman@example.net,Smith Ltd,280
167,Daniel Perez,001-241-296-6744x3599,qflores@example.org,,187
168,Mark Huber,001-955-676-3939x031,davidcantu@example.net,"Case, Simon and Wheeler",54
169,"West, Rice and Roberts",8446674369,anthony52@example.org,"Curtis, Stevenson and Brandt",241
170,"Clarke, Hines and Martinez",+1-858-387-5381x814,ribarra@example.net,,265
171,Robert Baxter,952.404.6326x3798,noah71@example.net,Berry LLC,337
172,"Craig, Ortiz and Rios",(269)970-0684x3680,victor18@example.net,,371
173,"Ramos, Herrera and Braun",001-737-860-9257x327,michael64@example.org,,58
174,James Morrow,(912)381-5151x51684,alison18@example.net,Hardy Ltd,284
175,Amy Murphy MD,+1-858-505-4940x309,stevenmartinez@example.net,,126
176,Jacqueline Escobar,001-918-822-4384x20067,ryan78@example.com,,290
177,Monica Cain,351-326-2406,carlperry@example.net,Villegas-Friedman,271
178,Burke PLC,001-593-901-5068x70501,melissa41@example.org,,88
179,Calhoun-Estrada,+1-732-818-6319x6804,danielle11@example.net,Orozco and Sons,15
180,Kimberly Pugh,001-961-816-7193x3258,rebecca73@example.org,"Middleton, Johnson and Diaz",244
181,Henry Wilson,(505)524-2201,christopher29@example.org,,107
182,Mary Hubbard,576-250-6358x91052,randalleduardo@example.net,"Moran, Christensen and Fitzgerald",275
183,Wong-Farmer,+1-237-972-9946x8871,misty02@example.org,Miller-Pace,254
184,William Martinez,+1-271-574-1895x58740,hernandezlaura@example.net,,266
185,Ryan King,9069728364,dianayoung@example.net,,285
186,Charles Murphy,413.359.5046x7015,annabrooks@example.net,,191
187,Zachary Chase,723-962-6943x6912,moralespaul@example.org,,120
188,Robert King,7077708907,robinsonmorgan@example.org,,206
