owner_id,first_name,last_name,address,phone,email,type,registration_date,unit_id
1,Walter,Mays,"PSC 4619, Box 3104, APO AA 14394",001-943-599-5752,pearsonrachel@example.org,Company,2020-08-20,4035
2,Danielle,Johnson,"8556 David Harbors Suite 305, West Cherylport, MD 28961",845-765-0766x5431,danielsolomon@example.com,Company,2024-07-11,8217
3,Christina,Paul,"Unit 2708 Box 6049, DPO AE 34883",(938)600-4792,zmccullough@example.net,Individual,2022-09-09,5464
4,Dana,Roberts,"80374 Tracy Trail Apt. 432, Perryshire, RI 59957",473-567-0307x79602,collinsrose@example.net,Company,2020-05-01,4818
5,Donald,Martinez,"5679 Thompson Ways Suite 377, Fisherside, AR 02298",855.352.4629x5198,chavezjennifer@example.org,Company,2020-10-29,38
6,Karl,Jones,"376 Rachel Knoll Suite 559, Fernandezstad, SC 63748",001-515-321-0465,theresa06@example.com,Individual,2022-11-21,4525
7,David,Pittman,"04583 Michelle Trafficway, Wolfemouth, CA 19007",618-385-0620x147,hcamacho@example.net,Company,2021-06-27,1864
8,Tracy,Perez,"175 Teresa Route, Smithmouth, AS 94797",001-373-367-1056x210,michael76@example.com,Company,2023-03-15,953
9,Alexandra,Hunter,"2552 Martin Rue, Kaylaberg, TN 99585",2996110367,ivangriffith@example.com,Individual,2020-10-06,4459
10,Catherine,Collins,"02312 Rich Pines, Lake Matthew, DC 76930",721.356.2844x3370,carlos58@example.com,Individual,2025-03-09,8915
11,Nicholas,Watkins,"3266 Mejia Extensions Apt. 919, Ericksonville, AZ 03659",001-362-769-8863,yvaughn@example.org,Company,2024-08-07,5509
12,James,Brown,"3572 Tyler Spur, Saraside, MO 47607",439.569.2618,fharmon@example.net,Company,2025-08-08,5371
13,Shannon,Maxwell,"44765 Kimberly Course, New Adamland, CO 34419",273.466.4672,victor65@example.org,Individual,2021-03-01,3795
14,Norma,Diaz,"83472 Davis Village, Suzanneton, KY 81743",979.365.9959,perezcarmen@example.net,Individual,2023-07-25,4989
